latitud,longitud
-38.96553443,-71.39084677
-38.95986271,-71.38964134
-38.95419099,-71.3884359
-38.94851927,-71.38723047
-38.94284755,-71.38602504
-38.93717584,-71.38481961
-38.93150412,-71.38361418
-38.9258324,-71.38240874
-38.92016068,-71.38120331
-38.91448896,-71.37999788
-38.90881724,-71.37879245
-38.90314552,-71.37758702
-38.8974738,-71.37638158
-38.89180208,-71.37517615
-38.88613037,-71.37397072
-38.88045865,-71.37276529
-38.87478693,-71.37155986
-38.86911521,-71.37035442
-38.86344349,-71.36914899
-38.85777177,-71.36794356
-38.85210005,-71.36673813
-38.84642833,-71.3655327
-38.84075661,-71.36432726
-38.83508489,-71.36312183
-38.82941318,-71.3619164
-38.82374146,-71.36071097
-38.81806974,-71.35950554
-38.81239802,-71.3583001
-38.8067263,-71.35709467
-38.80105458,-71.35588924
-38.79538286,-71.35468381
-38.78971114,-71.35347838
-38.78403942,-71.35227294
-38.7783677,-71.35106751
-38.77269598,-71.34986208
-38.76702427,-71.34865665
-38.76135255,-71.34745122
-38.75568083,-71.34624578
-38.75000911,-71.34504035
-38.74433739,-71.34383492
-38.73866567,-71.34262949
-38.73299395,-71.34142406
-38.72732223,-71.34021862
-38.72165051,-71.33901319
-38.7159788,-71.33780776
-38.71030708,-71.33660233
-38.70463536,-71.3353969
-38.69896364,-71.33419146
-38.69329192,-71.33298603
-38.6876202,-71.3317806
-38.68194848,-71.33057517
-38.67627676,-71.32936974
-38.67060504,-71.3281643
-38.66493332,-71.32695887
-38.65926161,-71.32575344
-38.65358989,-71.32454801
-38.64791817,-71.32334258
-38.64224645,-71.32213714
-38.63657473,-71.32093171
-38.63090301,-71.31972628
-38.62523129,-71.31852085
-38.61955957,-71.31731542
-38.61388785,-71.31610998
-38.60821613,-71.31490455
-38.60254442,-71.31369912
-38.5968727,-71.31249369
-38.59120098,-71.31128826
-38.58552926,-71.31008282
-38.57985754,-71.30887739
-38.57418582,-71.30767196
-38.5685141,-71.30646653
-38.56284238,-71.3052611
-38.55717066,-71.30405566
-38.55149894,-71.30285023
-38.54582723,-71.3016448
-38.54015551,-71.30043937
-38.53448379,-71.29923394
-38.52881207,-71.2980285
-38.52314035,-71.29682307
-38.51746863,-71.29561764
-38.51179691,-71.29441221
-38.50612519,-71.29320678
-38.50045347,-71.29200134
-38.49478175,-71.29079591
-38.48911003,-71.28959048
-38.48343832,-71.28838505
-38.4777666,-71.28717962
-38.47209488,-71.28597418
-38.46642316,-71.28476875
-38.46075144,-71.28356332
-38.45507972,-71.28235789
-38.449408,-71.28115246
-38.44373628,-71.27994702
-38.43806456,-71.27874159
-38.43239285,-71.27753616
-38.42672113,-71.27633073
-38.42104941,-71.2751253
-38.41537769,-71.27391986
-38.40970597,-71.27271443
-38.40403425,-71.271509
-38.39836253,-71.27030357
-38.39269081,-71.26909814
-38.38701909,-71.2678927
-38.38134737,-71.26668727
-38.37567566,-71.26548184
-38.37000394,-71.26427641
-38.36433222,-71.26307098
-38.3586605,-71.26186554
-38.35298878,-71.26066011
-38.34731706,-71.25945468
-38.34164534,-71.25824925
-38.33597362,-71.25704382
-38.3303019,-71.25583838
-38.32463018,-71.25463295
-38.31895846,-71.25342752
-38.31328675,-71.25222209
-38.30761503,-71.25101666
-38.30194331,-71.24981122
-38.29627159,-71.24860579
-38.29059987,-71.24740036
-38.28492815,-71.24619493
-38.27925643,-71.2449895
-38.27358471,-71.24378406
-38.26791299,-71.24257863
-38.26224128,-71.2413732
-38.25656956,-71.24016777
-38.25089784,-71.23896234
-38.24522612,-71.2377569
-38.2395544,-71.23655147
-38.23388268,-71.23534604
-38.22821096,-71.23414061
-38.22253924,-71.23293518
-38.21686752,-71.23172974
-38.2111958,-71.23052431
-38.20552409,-71.22931888
-38.19985237,-71.22811345
-38.19418065,-71.22690802
-38.18850893,-71.22570258
-38.18283721,-71.22449715
-38.17716549,-71.22329172
-38.17149377,-71.22208629
-38.16582205,-71.22088086
-38.16015033,-71.21967542
-38.15447861,-71.21846999
-38.14880689,-71.21726456
-38.14313518,-71.21605913
-38.13746346,-71.2148537
-38.13179174,-71.21364826
-38.12612002,-71.21244283
-38.1204483,-71.2112374
-38.11477658,-71.21003197
-38.10910486,-71.20882654
-38.10343314,-71.2076211
-38.09776142,-71.20641567
-38.0920897,-71.20521024
-38.08641799,-71.20400481
-38.08074627,-71.20279938
-38.07507455,-71.20159394
-38.06940283,-71.20038851
-38.06373111,-71.19918308
-38.05805939,-71.19797765
-38.05238767,-71.19677222
-38.04671595,-71.19556678
-38.04104423,-71.19436135
-38.03537252,-71.19315592
-38.0297008,-71.19195049
-38.02402908,-71.19074506
-38.01835736,-71.18953962
-38.01268564,-71.18833419
-38.00701392,-71.18712876
-38.0013422,-71.18592333
-37.99567048,-71.1847179
-37.98999876,-71.18351246
-37.98432704,-71.18230703
-37.97865533,-71.1811016
-37.97298361,-71.17989617
-37.96731189,-71.17869074
-37.96164017,-71.1774853
-37.95596845,-71.17627987
-37.95029673,-71.17507444
-37.94462501,-71.17386901
-37.93895329,-71.17266358
-37.93328157,-71.17145814
-37.92760985,-71.17025271
-37.92193814,-71.16904728
-37.91626642,-71.16784185
-37.9105947,-71.16663642
-37.90492298,-71.16543098
-37.89925126,-71.16422555
-37.89357954,-71.16302012
-37.88790782,-71.16181469
-37.8822361,-71.16060926
-37.87656438,-71.15940382
-37.87089266,-71.15819839
-37.86522095,-71.15699296
-37.85954923,-71.15578753
-37.85387751,-71.1545821
-37.84820579,-71.15337666
-37.84253407,-71.15217123
-37.83686235,-71.1509658
-37.83119063,-71.14976037
-37.82551891,-71.14855494
-37.81984719,-71.1473495
-37.81417547,-71.14614407
-37.80850376,-71.14493864
-37.80283204,-71.14373321
-37.79716032,-71.14252778
-37.7914886,-71.14132234
-37.78581688,-71.14011691
-37.78014516,-71.13891148
-37.77447344,-71.13770605
-37.76880172,-71.13650062
-37.76313,-71.13529518
-37.75745828,-71.13408975
-37.75178657,-71.13288432
-37.74611485,-71.13167889
-37.74044313,-71.13047346
-37.73477141,-71.12926802
-37.72909969,-71.12806259
-37.72342797,-71.12685716
-37.71775625,-71.12565173
-37.71208453,-71.1244463
-37.70641281,-71.12324086
-37.70074109,-71.12203543
-37.69506938,-71.12083
-37.68939766,-71.11962457
-37.68372594,-71.11841914
-37.67805422,-71.1172137
-37.6723825,-71.11600827
-37.66671078,-71.11480284
-37.66103906,-71.11359741
-37.65536734,-71.11239198
-37.64969562,-71.11118654
-37.6440239,-71.10998111
-37.63835219,-71.10877568
-37.63268047,-71.10757025
-37.62700875,-71.10636482
-37.62133703,-71.10515938
-37.61566531,-71.10395395
-37.60999359,-71.10274852
-37.60432187,-71.10154309
-37.59865015,-71.10033766
-37.59297843,-71.09913222
-37.58730671,-71.09792679
-37.581635,-71.09672136
-37.57596328,-71.09551593
-37.57029156,-71.0943105
-37.56461984,-71.09310506
-37.55894812,-71.09189963
-37.5532764,-71.0906942
-37.54760468,-71.08948877
-37.54193296,-71.08828334
-37.53626124,-71.0870779
-37.53058952,-71.08587247
-37.52491781,-71.08466704
-37.51924609,-71.08346161
-37.51357437,-71.08225618
-37.50790265,-71.08105074
-37.50223093,-71.07984531
-37.49655921,-71.07863988
-37.49088749,-71.07743445
-37.48521577,-71.07622902
-37.47954405,-71.07502358
-37.47387233,-71.07381815
-37.46820061,-71.07261272
-37.4625289,-71.07140729
-37.45685718,-71.07020186
-37.45118546,-71.06899642
-37.44551374,-71.06779099
-37.43984202,-71.06658556
-37.4341703,-71.06538013
-37.42849858,-71.0641747
-37.42282686,-71.06296926
-37.41715514,-71.06176383
-37.41148343,-71.0605584
-37.40581171,-71.05935297
-37.40013999,-71.05814754
-37.39446827,-71.0569421
-37.38879655,-71.05573667
-37.38312483,-71.05453124
-37.37745311,-71.05332581
-37.37178139,-71.05212038
-37.36610967,-71.05091494
-37.36043795,-71.04970951
-37.35476624,-71.04850408
-37.34909452,-71.04729865
-37.3434228,-71.04609322
-37.33775108,-71.04488778
-37.33207936,-71.04368235
-37.32640764,-71.04247692
-37.32073592,-71.04127149
-37.3150642,-71.04006606
-37.30939248,-71.03886062
-37.30372076,-71.03765519
-37.29804905,-71.03644976
-37.29237733,-71.03524433
-37.28670561,-71.0340389
-37.28103389,-71.03283346
-37.27536217,-71.03162803
-37.26969045,-71.0304226
-37.26401873,-71.02921717
-37.25834701,-71.02801174
-37.25267529,-71.0268063
-37.24700357,-71.02560087
-37.24133186,-71.02439544
-37.23566014,-71.02319001
-37.22998842,-71.02198458
-37.2243167,-71.02077914
-37.21864498,-71.01957371
-37.21297326,-71.01836828
-37.20730154,-71.01716285
-37.20162982,-71.01595742
-37.1959581,-71.01475198
-37.19028638,-71.01354655
-37.18461467,-71.01234112
-37.17894295,-71.01113569
-37.17327123,-71.00993026
-37.16759951,-71.00872482
-37.16192779,-71.00751939
-37.15625607,-71.00631396
-37.15058435,-71.00510853
-37.14491263,-71.0039031
-37.13924091,-71.00269766
-37.13356919,-71.00149223
-37.12789748,-71.0002868
-37.12222576,-70.99908137
-37.11655404,-70.99787594
-37.11088232,-70.9966705
-37.1052106,-70.99546507
-37.09953888,-70.99425964
-37.09386716,-70.99305421
-37.08819544,-70.99184878
-37.08252372,-70.99064334
-37.076852,-70.98943791
-37.07118029,-70.98823248
-37.06550857,-70.98702705
-37.05983685,-70.98582162
-37.05416513,-70.98461618
-37.04849341,-70.98341075
-37.04282169,-70.98220532
-37.03714997,-70.98099989
-37.03147825,-70.97979446
-37.02580653,-70.97858902
-37.02013481,-70.97738359
-37.0144631,-70.97617816
-37.00879138,-70.97497273
-37.00311966,-70.9737673
-36.99744794,-70.97256186
-36.99177622,-70.97135643
-36.9861045,-70.970151
-36.98043278,-70.96894557
-36.97476106,-70.96774014
-36.96908934,-70.9665347
-36.96341762,-70.96532927
-36.95774591,-70.96412384
-36.95207419,-70.96291841
-36.94640247,-70.96171298
-36.94073075,-70.96050754
-36.93505903,-70.95930211
-36.92938731,-70.95809668
-36.92371559,-70.95689125
-36.91804387,-70.95568582
-36.91237215,-70.95448038
-36.90670043,-70.95327495
-36.90102872,-70.95206952
-36.895357,-70.95086409
-36.88968528,-70.94965866
-36.88401356,-70.94845322
-36.87834184,-70.94724779
-36.87267012,-70.94604236
-36.8669984,-70.94483693
-36.86132668,-70.9436315
-36.85565496,-70.94242606
-36.84998324,-70.94122063
-36.84431153,-70.9400152
-36.83863981,-70.93880977
-36.83296809,-70.93760434
-36.82729637,-70.9363989
-36.82162465,-70.93519347
-36.81595293,-70.93398804
-36.81028121,-70.93278261
-36.80460949,-70.93157718
-36.79893777,-70.93037174
-36.79326605,-70.92916631
-36.78759434,-70.92796088
-36.78192262,-70.92675545
-36.7762509,-70.92555002
-36.77057918,-70.92434458
-36.76490746,-70.92313915
-36.75923574,-70.92193372
-36.75356402,-70.92072829
-36.7478923,-70.91952286
-36.74222058,-70.91831742
-36.73654886,-70.91711199
-36.73087715,-70.91590656
-36.72520543,-70.91470113
-36.71953371,-70.9134957
-36.71386199,-70.91229026
-36.70819027,-70.91108483
-36.70251855,-70.9098794
-36.69684683,-70.90867397
-36.69117511,-70.90746854
-36.68550339,-70.9062631
-36.67983167,-70.90505767
-36.67415996,-70.90385224
-36.66848824,-70.90264681
-36.66281652,-70.90144138
-36.6571448,-70.90023594
-36.65147308,-70.89903051
-36.64580136,-70.89782508
-36.64012964,-70.89661965
-36.63445792,-70.89541422
-36.6287862,-70.89420878
-36.62311448,-70.89300335
-36.61744276,-70.89179792
-36.61177105,-70.89059249
-36.60609933,-70.88938706
-36.60042761,-70.88818162
-36.59475589,-70.88697619
-36.58908417,-70.88577076
-36.58341245,-70.88456533
-36.57774073,-70.8833599
-36.57206901,-70.88215446
-36.56639729,-70.88094903
-36.56072557,-70.8797436
-36.55505386,-70.87853817
-36.54938214,-70.87733274
-36.54371042,-70.8761273
-36.5380387,-70.87492187
-36.53236698,-70.87371644
-36.52669526,-70.87251101
-36.52102354,-70.87130558
-36.51535182,-70.87010014
-36.5096801,-70.86889471
-36.50400839,-70.86768928
-36.49833667,-70.86648385
-36.49266495,-70.86527842
-36.48699323,-70.86407298
-36.48132151,-70.86286755
-36.47564979,-70.86166212
-36.46997807,-70.86045669
-36.46430635,-70.85925126
-36.45863463,-70.85804582
-36.45296291,-70.85684039
-36.4472912,-70.85563496
-36.44161948,-70.85442953
-36.43594776,-70.8532241
-36.43027604,-70.85201866
-36.42460432,-70.85081323
-36.4189326,-70.8496078
-36.41326088,-70.84840237
-36.40758916,-70.84719694
-36.40191744,-70.8459915
-36.39624572,-70.84478607
-36.39057401,-70.84358064
-36.38490229,-70.84237521
-36.37923057,-70.84116978
-36.37355885,-70.83996434
-36.36788713,-70.83875891
-36.36221541,-70.83755348
-36.35654369,-70.83634805
-36.35087197,-70.83514262
-36.34520025,-70.83393718
-36.33952853,-70.83273175
-36.33385682,-70.83152632
-36.3281851,-70.83032089
-36.32251338,-70.82911546
-36.31684166,-70.82791002
-36.31116994,-70.82670459
-36.30549822,-70.82549916
-36.2998265,-70.82429373
-36.29415478,-70.8230883
-36.28848306,-70.82188286
-36.28281134,-70.82067743
-36.27713963,-70.819472
-36.27146791,-70.81826657
-36.26579619,-70.81706114
-36.26012447,-70.8158557
-36.25445275,-70.81465027
-36.24878103,-70.81344484
-36.24310931,-70.81223941
-36.23743759,-70.81103398
-36.23176587,-70.80982854
-36.22609415,-70.80862311
-36.22042244,-70.80741768
-36.21475072,-70.80621225
-36.209079,-70.80500682
-36.20340728,-70.80380138
-36.19773556,-70.80259595
-36.19206384,-70.80139052
-36.18639212,-70.80018509
-36.1807204,-70.79897966
-36.17504868,-70.79777422
-36.16937696,-70.79656879
-36.16370524,-70.79536336
-36.15803353,-70.79415793
-36.15236181,-70.7929525
-36.14669009,-70.79174706
-36.14101837,-70.79054163
-36.13534665,-70.7893362
-36.12967493,-70.78813077
-36.12400321,-70.78692534
-36.11833149,-70.7857199
-36.11265977,-70.78451447
-36.10698806,-70.78330904
-36.10131634,-70.78210361
-36.09564462,-70.78089818
-36.0899729,-70.77969274
-36.08430118,-70.77848731
-36.07862946,-70.77728188
-36.07295774,-70.77607645
-36.06728602,-70.77487102
-36.0616143,-70.77366558
-36.05594258,-70.77246015
-36.05027087,-70.77125472
-36.04459915,-70.77004929
-36.03892743,-70.76884386
-36.03325571,-70.76763842
-36.02758399,-70.76643299
-36.02191227,-70.76522756
-36.01624055,-70.76402213
-36.01056883,-70.7628167
-36.00489711,-70.76161126
-35.99922539,-70.76040583
-35.99355368,-70.7592004
-35.98788196,-70.75799497
-35.98221024,-70.75678954
-35.97653852,-70.7555841
-35.9708668,-70.75437867
-35.96519508,-70.75317324
-35.95952336,-70.75196781
-35.95385164,-70.75076238
-35.94817992,-70.74955694
-35.9425082,-70.74835151
-35.93683649,-70.74714608
-35.93116477,-70.74594065
-35.92549305,-70.74473522
-35.91982133,-70.74352978
-35.91414961,-70.74232435
-35.90847789,-70.74111892
-35.90280617,-70.73991349
-35.89713445,-70.73870806
-35.89146273,-70.73750262
-35.88579101,-70.73629719
-35.8801193,-70.73509176
-35.87444758,-70.73388633
-35.86877586,-70.7326809
-35.86310414,-70.73147546
-35.85743242,-70.73027003
-35.8517607,-70.7290646
-35.84608898,-70.72785917
-35.84041726,-70.72665374
-35.83474554,-70.7254483
-35.82907382,-70.72424287
-35.82340211,-70.72303744
-35.81773039,-70.72183201
-35.81205867,-70.72062658
-35.80638695,-70.71942114
-35.80071523,-70.71821571
-35.79504351,-70.71701028
-35.78937179,-70.71580485
-35.78370007,-70.71459942
-35.77802835,-70.71339398
-35.77235663,-70.71218855
-35.76668492,-70.71098312
-35.7610132,-70.70977769
-35.75534148,-70.70857226
-35.74966976,-70.70736682
-35.74399804,-70.70616139
-35.73832632,-70.70495596
-35.7326546,-70.70375053
-35.72698288,-70.7025451
-35.72131116,-70.70133966
-35.71563944,-70.70013423
-35.70996772,-70.6989288
-35.70429601,-70.69772337
-35.69862429,-70.69651794
-35.69295257,-70.6953125
-35.68728085,-70.69410707
-35.68160913,-70.69290164
-35.67593741,-70.69169621
-35.67026569,-70.69049078
-35.66459397,-70.68928534
-35.65892225,-70.68807991
-35.65325054,-70.68687448
-35.64757882,-70.68566905
-35.6419071,-70.68446362
-35.63623538,-70.68325818
-35.63056366,-70.68205275
-35.62489194,-70.68084732
-35.61922022,-70.67964189
-35.6135485,-70.67843646
-35.60787678,-70.67723102
-35.60220506,-70.67602559
-35.59653335,-70.67482016
-35.59086163,-70.67361473
-35.58518991,-70.6724093
-35.57951819,-70.67120386
-35.57384647,-70.66999843
-35.56817475,-70.668793
-35.56250303,-70.66758757
-35.55683131,-70.66638214
-35.55115959,-70.6651767
-35.54548787,-70.66397127
-35.53981616,-70.66276584
-35.53414444,-70.66156041
-35.52847272,-70.66035498
-35.522801,-70.65914954
-35.51712928,-70.65794411
-35.51145756,-70.65673868
-35.50578584,-70.65553325
-35.50011412,-70.65432782
-35.4944424,-70.65312238
-35.48877068,-70.65191695
-35.48309897,-70.65071152
-35.47742725,-70.64950609
-35.47175553,-70.64830066
-35.46608381,-70.64709522
-35.46041209,-70.64588979
-35.45474037,-70.64468436
-35.44906865,-70.64347893
-35.44339693,-70.6422735
-35.43772521,-70.64106806
-35.43205349,-70.63986263
-35.42638178,-70.6386572
-35.42071006,-70.63745177
-35.41503834,-70.63624634
-35.40936662,-70.6350409
-35.4036949,-70.63383547
-35.39802318,-70.63263004
-35.39235146,-70.63142461
-35.38667974,-70.63021918
-35.38100802,-70.62901374
-35.3753363,-70.62780831
-35.36966459,-70.62660288
-35.36399287,-70.62539745
-35.35832115,-70.62419202
-35.35264943,-70.62298658
-35.34697771,-70.62178115
-35.34130599,-70.62057572
-35.33563427,-70.61937029
-35.32996255,-70.61816486
-35.32429083,-70.61695942
-35.31861911,-70.61575399
-35.3129474,-70.61454856
-35.30727568,-70.61334313
-35.30160396,-70.6121377
-35.29593224,-70.61093226
-35.29026052,-70.60972683
-35.2845888,-70.6085214
-35.27891708,-70.60731597
-35.27324536,-70.60611054
-35.26757364,-70.6049051
-35.26190192,-70.60369967
-35.25623021,-70.60249424
-35.25055849,-70.60128881
-35.24488677,-70.60008338
-35.23921505,-70.59887794
-35.23354333,-70.59767251
-35.22787161,-70.59646708
-35.22219989,-70.59526165
-35.21652817,-70.59405622
-35.21085645,-70.59285078
-35.20518473,-70.59164535
-35.19951302,-70.59043992
-35.1938413,-70.58923449
-35.18816958,-70.58802906
-35.18249786,-70.58682362
-35.17682614,-70.58561819
-35.17115442,-70.58441276
-35.1654827,-70.58320733
-35.15981098,-70.5820019
-35.15413926,-70.58079646
-35.14846754,-70.57959103
-35.14279583,-70.5783856
-35.13712411,-70.57718017
-35.13145239,-70.57597474
-35.12578067,-70.5747693
-35.12010895,-70.57356387
-35.11443723,-70.57235844
-35.10876551,-70.57115301
-35.10309379,-70.56994758
-35.09742207,-70.56874214
-35.09175035,-70.56753671
-35.08607864,-70.56633128
-35.08040692,-70.56512585
-35.0747352,-70.56392042
-35.06906348,-70.56271498
-35.06339176,-70.56150955
-35.05772004,-70.56030412
-35.05204832,-70.55909869
-35.0463766,-70.55789326
-35.04070488,-70.55668782
-35.03503316,-70.55548239
-35.02936145,-70.55427696
-35.02368973,-70.55307153
-35.01801801,-70.5518661
-35.01234629,-70.55066066
-35.00667457,-70.54945523
-35.00100285,-70.5482498
-34.99533113,-70.54704437
-34.98965941,-70.54583894
-34.98398769,-70.5446335
-34.97831597,-70.54342807
-34.97264426,-70.54222264
-34.96697254,-70.54101721
-34.96130082,-70.53981178
-34.9556291,-70.53860634
-34.94995738,-70.53740091
-34.94428566,-70.53619548
-34.93861394,-70.53499005
-34.93294222,-70.53378462
-34.9272705,-70.53257918
-34.92159878,-70.53137375
-34.91592707,-70.53016832
-34.91025535,-70.52896289
-34.90458363,-70.52775746
-34.89891191,-70.52655202
-34.89324019,-70.52534659
-34.88756847,-70.52414116
-34.88189675,-70.52293573
-34.87622503,-70.5217303
-34.87055331,-70.52052486
-34.86488159,-70.51931943
-34.85920988,-70.518114
-34.85353816,-70.51690857
-34.84786644,-70.51570314
-34.84219472,-70.5144977
-34.836523,-70.51329227
-34.83085128,-70.51208684
-34.82517956,-70.51088141
-34.81950784,-70.50967598
-34.81383612,-70.50847054
-34.8081644,-70.50726511
-34.80249269,-70.50605968
-34.79682097,-70.50485425
-34.79114925,-70.50364882
-34.78547753,-70.50244338
-34.77980581,-70.50123795
-34.77413409,-70.50003252
-34.76846237,-70.49882709
-34.76279065,-70.49762166
-34.75711893,-70.49641622
-34.75144721,-70.49521079
-34.7457755,-70.49400536
-34.74010378,-70.49279993
-34.73443206,-70.4915945
-34.72876034,-70.49038906
-34.72308862,-70.48918363
-34.7174169,-70.4879782
-34.71174518,-70.48677277
-34.70607346,-70.48556734
-34.70040174,-70.4843619
-34.69473002,-70.48315647
-34.68905831,-70.48195104
-34.68338659,-70.48074561
-34.67771487,-70.47954018
-34.67204315,-70.47833474
-34.66637143,-70.47712931
-34.66069971,-70.47592388
-34.65502799,-70.47471845
-34.64935627,-70.47351302
-34.64368455,-70.47230758
-34.63801283,-70.47110215
-34.63234112,-70.46989672
-34.6266694,-70.46869129
-34.62099768,-70.46748586
-34.61532596,-70.46628042
-34.60965424,-70.46507499
-34.60398252,-70.46386956
-34.5983108,-70.46266413
-34.59263908,-70.4614587
-34.58696736,-70.46025326
-34.58129564,-70.45904783
-34.57562393,-70.4578424
-34.56995221,-70.45663697
-34.56428049,-70.45543154
-34.55860877,-70.4542261
-34.55293705,-70.45302067
-34.54726533,-70.45181524
-34.54159361,-70.45060981
-34.53592189,-70.44940438
-34.53025017,-70.44819894
-34.52457845,-70.44699351
-34.51890674,-70.44578808
-34.51323502,-70.44458265
-34.5075633,-70.44337722
-34.50189158,-70.44217178
-34.49621986,-70.44096635
-34.49054814,-70.43976092
-34.48487642,-70.43855549
-34.4792047,-70.43735006
-34.47353298,-70.43614462
-34.46786126,-70.43493919
-34.46218955,-70.43373376
-34.45651783,-70.43252833
-34.45084611,-70.4313229
-34.44517439,-70.43011746
-34.43950267,-70.42891203
-34.43383095,-70.4277066
-34.42815923,-70.42650117
-34.42248751,-70.42529574
-34.41681579,-70.4240903
-34.41114407,-70.42288487
-34.40547236,-70.42167944
-34.39980064,-70.42047401
-34.39412892,-70.41926858
-34.3884572,-70.41806314
-34.38278548,-70.41685771
-34.37711376,-70.41565228
-34.37144204,-70.41444685
-34.36577032,-70.41324142
-34.3600986,-70.41203598
-34.35442688,-70.41083055
-34.34875517,-70.40962512
-34.34308345,-70.40841969
-34.33741173,-70.40721426
-34.33174001,-70.40600882
-34.32606829,-70.40480339
-34.32039657,-70.40359796
-34.31472485,-70.40239253
-34.30905313,-70.4011871
-34.30338141,-70.39998166
-34.29770969,-70.39877623
-34.29203798,-70.3975708
-34.28636626,-70.39636537
-34.28069454,-70.39515994
-34.27502282,-70.3939545
-34.2693511,-70.39274907
-34.26367938,-70.39154364
-34.25800766,-70.39033821
-34.25233594,-70.38913278
-34.24666422,-70.38792734
-34.2409925,-70.38672191
-34.23532079,-70.38551648
-34.22964907,-70.38431105
-34.22397735,-70.38310562
-34.21830563,-70.38190018
-34.21263391,-70.38069475
-34.20696219,-70.37948932
-34.20129047,-70.37828389
-34.19561875,-70.37707846
-34.18994703,-70.37587302
-34.18427531,-70.37466759
-34.1786036,-70.37346216
-34.17293188,-70.37225673
-34.16726016,-70.3710513
-34.16158844,-70.36984586
-34.15591672,-70.36864043
